bids_name	NumberOfShells	bValues	bValuesEstimation	bdiffs_max	bdiffs_mean	bdiffs_median	bdiffs_min	efc_shell01	efc_shell02	efc_shell03	efc_shell04	efc_shell05	fa_degenerate	fa_nans	fber_shell01	fber_shell02	fber_shell03	fber_shell04	fber_shell05	fd_mean	fd_num	fd_perc	ndc	sigma_cc	sigma_pca	sigma_piesno	snr_cc_shell0	snr_cc_shell1_best	snr_cc_shell1_worst	snr_cc_shell2_best	snr_cc_shell2_worst	snr_cc_shell3_best	snr_cc_shell3_worst	snr_cc_shell4_best	snr_cc_shell4_worst	spikes_global	spikes_slice_i	spikes_slice_j	spikes_slice_k	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv
sub-001_ses-028_acq-highres_dir-RL_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3408	0.1655	0.1608	0.0075	0.4716	0.5864	0.6033	0.6516	0.6734	0.0	0.0	278.5289	117.6916	77.8641	29.8294	16.8802	19.7504	279	99.64285714285714	0.3534	38.5477	18.9474	7.5935	4.53	4.54	4.54	3.1	2.12	2.49	1.74	1.78	1.19	50.9	321.38	316.57	278.96	238.2771	17.7912	40.5653	18.0	952719.0	3.0	134.0	97.6669	9.5	166.0514	386.4706	290.0	368289.0	95.0	1052.0	322.6764	10.5539	75.6127	207.1895	203.0	112182.0	76.0	347.0	86.8697
sub-001_ses-037_acq-highres_dir-LR_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3668	0.2647	0.2953	0.0104	0.4631	0.58	0.5768	0.6272	0.6666	0.0	0.0	300.6688	120.0124	94.1422	34.2329	18.7192	12.6344	279	99.64285714285714	0.7574	42.9955	19.1486	7.5935	3.81	3.86	3.86	2.58	1.76	2.11	1.45	1.43	1.0	52.11	347.53	332.35	298.95	260.9037	17.7912	41.1683	18.0	954265.0	3.0	132.0	105.9158	8.5643	179.3949	403.4565	303.0	366743.0	95.0	1108.0	339.9513	8.1097	84.5083	214.0957	209.0	107496.0	80.0	362.0	91.1994
sub-001_ses-038_acq-highres_dir-PA_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3258	0.2313	0.2662	0.0023	0.3798	0.4895	0.5	0.5503	0.6011	0.0	0.0	1266.8242	405.1976	275.0185	95.928	45.6095	6.0697	279	99.64285714285714	0.542	37.8064	15.4166	1.3206	4.11	4.17	4.17	2.63	1.79	2.24	1.52	1.73	1.1	35.28	204.69	199.91	194.19	814.2687	7.413	26.5909	8.0	1491395.0	2.0	100.0	98.3119	8.8025	173.4645	394.7751	297.0	363097.0	93.0	1088.0	333.6817	10.3238	78.5779	209.3517	205.0	102351.0	86.0	345.0	84.5013
sub-001_ses-039_acq-highres_dir-LR_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3584	0.2441	0.2765	0.0098	0.462	0.5743	0.5819	0.6206	0.6585	0.0	0.0	326.6862	132.4026	94.5925	39.503	20.3584	22.0119	279	99.64285714285714	0.7039	42.9955	18.8645	7.2633	4.08	4.07	4.07	2.69	1.88	2.17	1.5	1.49	1.03	51.62	345.0	338.28	292.6	276.4445	17.7912	39.0049	18.0	954893.0	3.0	124.0	104.5423	9.4591	174.9471	396.6913	303.0	366115.0	97.0	1064.0	327.8526	4.8909	84.5083	214.5934	211.0	102269.0	82.0	356.0	86.9156
sub-001_ses-040_acq-highres_dir-AP_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.1646	0.0823	0.0964	0.0079	0.3998	0.4995	0.5177	0.5756	0.6193	0.0	0.0	1119.3431	359.865	229.2127	72.8119	32.6565	9.5512	278	99.28571428571429	0.4809	41.5129	15.4666	1.6508	4.05	4.08	4.08	2.59	1.63	2.06	1.22	1.21	0.92	33.57	200.19	209.19	183.63	194.3853	8.8956	27.2749	9.0	1491450.0	2.0	105.0	72.9634	9.4831	167.5341	395.1906	300.0	363042.0	94.0	1060.0	324.0449	14.915	80.0605	220.189	219.0	109129.0	79.0	360.0	93.4048
sub-001_ses-041_acq-highres_dir-AP_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.2302	0.0902	0.1003	0.0074	0.3989	0.5029	0.5215	0.5838	0.6254	0.0	0.0	1162.0437	365.0615	230.1112	76.5617	34.2301	11.9808	278	99.28571428571429	0.4542	37.0651	15.6918	1.6508	4.26	4.23	4.23	2.73	1.82	2.23	1.33	1.64	0.81	34.87	196.82	213.69	201.39	201.2682	8.8956	25.9831	9.0	1491949.0	2.0	99.0	72.8899	7.8161	163.0862	386.7264	293.0	362543.0	94.0	1031.0	309.3651	16.1144	71.1649	215.0167	212.0	104762.0	93.0	345.0	85.0021
sub-001_ses-042_acq-highres_dir-PA_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3288	0.2426	0.2728	0.008	0.3896	0.4942	0.5029	0.5583	0.6093	0.0	0.0	1159.405	391.0302	274.7656	90.7568	42.3953	4.0408	279	99.64285714285714	0.6017	36.3238	15.8252	1.6508	4.37	4.37	4.37	2.76	1.85	2.5	1.79	1.76	1.21	35.24	185.85	186.7	195.53	772.5298	8.8956	28.0724	9.0	1489943.0	2.0	109.0	104.3633	8.1	169.0167	395.6439	302.0	364549.0	97.0	1065.0	320.0955	12.1142	77.0953	216.2039	212.0	108644.0	77.0	360.0	92.0365
sub-001_ses-043_acq-highres_dir-AP_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.2977	0.091	0.0917	0.007	0.399	0.4965	0.5144	0.5722	0.6151	0.0	0.0	1239.9668	391.196	249.4065	80.732	35.704	9.9301	279	99.64285714285714	0.5641	37.0651	15.6023	1.6508	4.78	4.58	4.58	2.98	1.95	2.51	1.39	1.7	0.94	33.61	192.04	203.57	185.14	211.3762	8.8956	26.9477	9.0	1493797.0	2.0	102.0	77.242	9.3075	164.5688	391.4715	305.0	360695.0	100.0	1013.0	306.586	9.2436	81.5431	224.2456	225.0	103528.0	92.0	359.0	88.0761
sub-001_ses-044_acq-highres_dir-LR_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.357	0.2395	0.2721	0.0098	0.4769	0.5847	0.589	0.631	0.6703	0.0	0.0	290.1987	121.5365	89.6929	37.9831	19.6102	16.7967	279	99.64285714285714	0.7239	37.0651	18.8289	7.2633	4.56	4.62	4.62	2.97	2.05	2.47	1.58	1.91	1.13	51.12	325.31	322.88	289.07	230.3784	17.7912	40.6966	17.0	951647.0	3.0	138.0	103.6848	8.6884	160.121	372.6175	287.0	369361.0	89.0	996.0	302.1254	11.6718	78.5779	208.2211	204.0	105549.0	76.0	346.0	88.8044
sub-001_ses-045_acq-highres_dir-LR_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.345	0.2324	0.2612	0.0037	0.4723	0.5826	0.5886	0.6323	0.67	0.0	0.0	322.6674	133.3445	95.914	38.4685	19.0944	16.389	279	99.64285714285714	0.7616	40.7716	18.9814	7.5935	4.16	4.18	4.18	2.72	1.85	2.34	1.52	1.85	1.03	51.16	331.5	320.12	290.25	268.0456	16.3086	38.0083	17.0	950936.0	3.0	124.0	95.0171	7.8693	166.0514	389.7744	298.0	370072.0	92.0	1044.0	313.8747	8.3224	77.0953	216.0998	213.0	108715.0	74.0	356.0	89.2626
